
Winter 2022
etak_id,address,year,pv_area_m2_r,pv_area_m2_e,Dec_kwh/pv_m2_r,Dec_kwh/pv_m2_e,Jan_kwh/pv_m2_r,Jan_kwh/pv_m2_e,Feb_kwh/pv_m2_r,Feb_kwh/pv_m2_e
719155,Tiigi 19,2022,195.82,453.978,28.018690634256,30.557758305468543,26.069349402512483,29.975725695958836,23.794964763558365,23.9856556925666
719414,Pepleri 10,2022,169.67,732.321,NaN,29.9296619924869,NaN,29.16864325889876,20.202216066482034,22.798554185937583
719935,Lutsu 16,2022,187.23,427.428,19.958019548149327,30.159184704792388,18.299524648827653,29.416018604302945,15.246274635475073,23.113389857473077
720043,Aleksandri 3,2022,146.65,468.828,27.20579611319475,29.896806504730947,25.036617797476953,29.127846459682445,21.81636549607907,22.786949584922404
720239,Pepleri 12,2022,171.77,727.407,27.507713803341677,29.92955800535326,25.375211038015934,29.16178975456656,21.950224136927286,22.77335796878501
720448,J.Kuperjanovi 2,2022,193.61,583.533,24.314859769639952,30.13390845076457,22.5484220856361,29.41235542805634,20.740199369867227,23.16141503565351
720467,Pepleri 3,2022,139.91,428.364,25.866128225287685,29.90624795734469,23.577013794582257,29.135221447180434,19.68851404474302,22.74049640025772
720592,Kalevi 8,2022,168.47,555.345,19.295482875289363,29.96524682854802,17.4887517065353,29.221096795685565,14.756989374962904,22.926955316064785
720593,Tiigi 23,2022,162.0,433.629,27.059567901234576,29.714640856584776,24.839753086419712,28.93646412025026,21.998395061728424,22.557416593447392
720853,Tiigi 21,2022,161.09,423.891,25.203861195604965,29.68017721536904,22.996585759513295,28.900613601138023,19.86535477062512,22.525436963747755
721107,Aleksandri 12,2022,260.11,718.956,29.18161547037789,29.926170725329506,27.823190188766333,29.15246551944764,25.026719464841786,22.802563717390218

Autumn 2022
etak_id,address,year,pv_area_m2_r,pv_area_m2_e,Sep_kwh/pv_m2_r,Sep_kwh/pv_m2_e,Oct_kwh/pv_m2_r,Oct_kwh/pv_m2_e,Nov_kwh/pv_m2_r,Nov_kwh/pv_m2_e
713413,Turu 3,2022,165.44,477.837,12.010880077369448,18.68005198425405,5.524177949709855,9.913422359507532,1.0385033849129452,3.3697055690538824
715116,Turu 9,2022,147.85,482.049,12.910923233006459,14.222931693665997,5.872438282042548,6.558607112554947,1.1040243490024382,2.019711689060656
716647,Tähe 2,2022,182.69,461.862,13.589687448683547,17.4070176806059,6.194646669221069,9.123959104667628,NaN,3.0961196201462777
716801,Tiigi 8,2022,257.01,725.94,13.645772538033563,14.41245832988952,5.875257772071126,6.594167562057471,1.1618614061709118,1.9099099099099095
719155,Tiigi 19,2022,195.82,453.978,14.173475640894685,15.606417051046524,6.291390052088632,7.484591764358625,1.2075375344704649,2.3667226165144566
719414,Pepleri 10,2022,169.67,732.321,11.700889962869063,14.282234156879293,5.230800966582244,6.605177237850614,NaN,2.058045583835504
719935,Lutsu 16,2022,187.23,427.428,8.75495380013888,14.543829604050272,3.4619986113336663,6.586208671401967,0.6197724723601645,1.8129603114442665
720043,Aleksandri 3,2022,146.65,468.828,12.910330719399951,14.276515054561589,6.104057279236301,6.504410999343043,1.1276508694169474,1.907629237161603
720239,Pepleri 12,2022,171.77,727.407,12.53886010362696,14.244528853860356,5.657565349013232,6.570901847246452,NaN,2.0408794526310583
720448,J.Kuperjanovi 2,2022,193.61,583.533,12.772067558493893,14.627638882462517,6.041010278394741,6.669305763341576,1.1016476421672103,1.8547708527195548
720467,Pepleri 3,2022,139.91,428.364,10.561575298406108,14.212795659765996,4.450575369880692,6.557040274159361,0.8747051676076771,2.0412779785416144
720592,Kalevi 8,2022,168.47,555.345,8.203003502107196,14.4374217828557,3.6093666528165236,6.64410411545976,0.713895649076968,1.97900404253212
720593,Tiigi 23,2022,162.0,433.629,13.121049382716054,14.101709064661264,6.019814814814765,6.557287450793189,1.1097530864198357,2.0679889952009667
720853,Tiigi 21,2022,161.09,423.891,11.548327022161525,14.081709684801046,5.3316779440064845,6.552179687702735,1.0824383884784614,2.0677013666249104
721107,Aleksandri 12,2022,260.11,718.956,14.688439506362695,14.277118488474954,6.929760485948252,6.4994519831533495,1.3244396601437853,1.8979325577643136
