etak_id,lat,lon,total_roof_area,district,ehr_code,address_id,address,name,type,year,total_area,floors,energy_label,residential,assembly,business,educational,industrial,institutional,mercantile,storage,other
712326,58.39808312888886,26.72646512038072,426.64,Raadi-Kruusamäe,120193617.0,EE01066479,"Kruusamäe tänav 27, Tartu linn",Elamu-garaaž-töökoda,kahe korteriga elamu,2000.0,429.5,2.0,C,0.5427240977881257,0.0,0.1662398137369033,0.0,0.0,0.0,0.0,0.0,0.0
726494,58.343581928699614,26.730365610619327,2852.01,Ropka tööstuse,104018272.0,ME00752115,"Tähe tänav 133c, Tartu linn",Tööstus- ja büroohoone,kaubandushoone,,2845.1,2.0,,0.0,0.0,0.1075533373167902,0.0,0.4080700151137043,0.0,0.393835014586482,0.0097711855470809,0.0
725735,58.35805635397936,26.69945477894244,259.61,Tammelinna,104040132.0,EE00772286,"Õuna tänav 15, Tartu linn",Elamu,üksikelamu,1977.0,117.1,1.0,,0.5081127241673783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
728332,58.35603874851551,26.72231253667693,391.91,Ropka,104047768.0,ME00779527,"Võru tänav 170, Tartu linn",Kauplusehoone,muu kaubandushoone,2001.0,1033.8,2.0,,0.0,0.0,0.1464499903269491,0.0,0.0,0.0,0.7845811568968853,0.0,0.0
702928,58.38020623826448,26.6672342244145,127.56,Endine Tähtvere vald,104049157.0,ME00780869,"Kandi tee 12, Tartu linn",Laut,"elamu, kooli vms abihoone",,58.9,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
724551,58.3626435093588,26.6981020080922,68.6,Tammelinna,nan,ME03044963,"Elva tänav 43, Tartu linn",,,,,,,,,,,,,,,
711599,58.39753589459424,26.72966589240036,171.05,Raadi-Kruusamäe,104039669.0,EE00771876,"Kruusavälja tänav 1b, Tartu linn",Elamu,üksikelamu,1993.0,141.5,2.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7809604,58.36043048929896,26.718351372276384,36.92,Ropka,nan,ME03798750,"Kabeli tänav 9, Tartu linn",,,,,,,,,,,,,,,
6715928,58.34845336414401,26.72239221402721,28.24,Ropka,nan,,,,,,,,,,,,,,,,,
710858,58.37542398617486,26.72368835418399,306.3,Kesklinna,104030536.0,EE00763621,"Wilhelm Struve tänav 8, Tartu linn",Elamu,muu kolme või enama korteriga elamu,1977.0,1039.1,4.0,,0.7517082090270427,0.0,0.069098258107978,0.0,0.0,0.0,0.0,0.0,0.0
710316,58.38292763282976,26.71355689202713,352.31,Tähtvere,104023950.0,ME01800864,"Tähtvere tänav 4, Tartu linn",Büroohoone,"kohvik, baar või söökla",1907.0,1002.2,5.0,,0.0,0.1658351626421871,0.1119537018559169,0.0,0.0,0.0,0.0,0.0,0.0
725401,58.35574989641704,26.70346428075112,95.37,Tammelinna,104041553.0,EE00773573,"Tihase tänav 10, Tartu linn",Elamu,üksikelamu,1977.0,124.9,1.0,,0.4867894315452361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
727590,58.36158014008622,26.71602233881078,57.53,Tammelinna,nan,ME03031471,"Raudtee tänav 13, Tartu linn",,,,,,,,,,,,,,,
5694237,58.36976697274064,26.681145897965955,218.59,Veeriku,104041324.0,EE00773367,"Nisu tänav 49, Tartu linn",Eramu (kaksikelamu sektsioon),üksikelamu,1995.0,253.4,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
729487,58.35000834315138,26.78607132539021,92.77,Ihaste,104018497.0,EE00752295,"Kasteheina tänav 10, Tartu linn",Aiamaja,"suvila, aiamaja",1977.0,86.5,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
710297,58.38565552098411,26.70952586479993,112.75,Supilinna,120677374.0,EE03240011,"Tähtvere tänav 39, Tartu linn",Üksikelamu,üksikelamu,1845.0,121.9,2.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7146282,58.34684188552516,26.738575818136216,4037.44,Ropka tööstuse,120811248.0,ME03595781,"Turu tänav 51, Tartu linn",Äri -ja laohoone,muu laohoone,2017.0,4394.8,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.3614043870028215,0.6277418767634477,0.0
723884,58.35840855479021,26.70316083437781,163.78,Tammelinna,104032957.0,EE00765851,"Soinaste tänav 31a, Tartu linn",Elamu,üksikelamu,1977.0,218.1,2.0,,0.7643282897753324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
724671,58.34208933699767,26.780511096078342,30.55,Ihaste,nan,,,,,,,,,,,,,,,,,
719232,58.37609003498204,26.700367532494813,205.25,Veeriku,121370111.0,ME03961797,"Näituse tänav 26a, Tartu linn",Keskladu,muu laohoone,,169.5,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
723893,58.356731239322485,26.690135797506425,393.29,Tammelinna,120678050.0,EE03242867,"Haki tänav 1, Tartu linn",Korterelamu,muu kolme või enama korteriga elamu,2013.0,1624.2,4.0,D,0.7877108730451915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
721011,58.376424154588726,26.7175742644497,672.64,Kesklinna,104027418.0,EE00760725,"Pepleri tänav 8, Tartu linn",Korterelamu,muu kolme või enama korteriga elamu,1961.0,1710.2,4.0,E,0.9310022219623436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
716494,58.35168246419141,26.71658772532945,42.45,Ropka,nan,ME03031465,"Aianduse tänav 7, Tartu linn",,,,,,,,,,,,,,,
723354,58.36353325323669,26.72167827523632,175.44,Karlova,104014928.0,EE00749003,"Side tänav 2, Tartu linn",Elamu,muu kolme või enama korteriga elamu,1977.0,211.5,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
727893,58.3472172426195,26.714667726749887,144.42,Ropka,104017766.0,EE00751646,"Võru tänav 157, Tartu linn",Üksikelamu,üksikelamu,1986.0,182.9,2.0,,0.6386003280481137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
716477,58.37500026537646,26.70950268406736,446.42,Vaksali,104036780.0,EE00769367,"Julius Kuperjanovi tänav 52, Tartu linn",Elamu,muu kolme või enama korteriga elamu,1977.0,595.9,2.0,,0.6449068635677128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
718403,58.382786796298106,26.702274448482868,129.33,Tähtvere,104015934.0,EE01668453,"Lydia Koidula tänav 3, Tartu linn",Elumaja,üksikelamu,1963.0,210.5,2.0,,0.6437054631828979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
705903,58.405910909587945,26.662432035359657,416.88,Endine Tähtvere vald,104025378.0,EE00758800,"Tiksoja tee 3, Tartu linn",Elamu,üksikelamu,1977.0,244.0,1.0,,0.7680327868852459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
716699,58.37501526899805,26.69842975755908,179.12,Veeriku,104015382.0,EE00749414,"Lehola tänav 6, Tartu linn",Elamu,üksikelamu,1977.0,78.6,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
730821,58.34894398858273,26.789776058104508,209.19,Ihaste,104018792.0,EE00752554,"Pääsusilma tänav 13, Tartu linn",Üksikelamu,üksikelamu,1986.0,171.2,2.0,,0.8563084112149533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720305,58.36461836910319,26.72180520067693,87.97,Karlova,120590245.0,ME01938519,"Võru tänav 132, Tartu linn",Puukuur,"elamu, kooli vms abihoone",1946.0,69.5,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
711856,58.39725748356473,26.72927630567385,175.79,Raadi-Kruusamäe,104041333.0,EE00773375,"Kruusamäe tänav 17, Tartu linn",Elamu,üksikelamu,1977.0,98.6,1.0,,0.6805273833671399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
645008,58.36708581464244,26.727156512311574,61.0,Karlova,nan,ME03039833,"Kuu tänav 4, Tartu linn",,,,,,,,,,,,,,,
715886,58.38601540623345,26.71546296971912,48.44,Supilinna,nan,ME03031469,"Herne tänav 29, Tartu linn",,,,,,,,,,,,,,,
717808,58.38178486714369,26.74422423552208,636.51,Ülejõe,104017259.0,EE00751166,"Anne tänav 2, Tartu linn",Elamu,muu kolme või enama korteriga elamu,1970.0,5681.6,5.0,D,0.7701351731906505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
706605,58.350387848777984,26.609771437457454,129.3,Endine Tähtvere vald,120791917.0,EE03003948,,Elamu,üksikelamu,1866.0,108.5,2.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
728605,58.344479812956045,26.779180796444287,105.74,Ihaste,104018839.0,EE00752594,"Lepalinnu tänav 14, Tartu linn",Aiamaja,"suvila, aiamaja",1975.0,39.3,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
644811,58.38401007680609,26.74094424708364,438.89,Ülejõe,104013740.0,EE00747903,"Jaama tänav 56c, Tartu linn",Korterelamu,muu kolme või enama korteriga elamu,1936.0,627.3,4.0,,0.8949465965247888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7111710,58.37008770700136,26.71908965464093,29.68,Vaksali,121315489.0,ME03860656,"Filosoofi tänav 7, Tartu linn",Kuur,"elamu, kooli vms abihoone",,29.2,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
704767,58.382563927428,26.57406584095176,63.97,Endine Tähtvere vald,nan,ME02956334,"Õngu tee 13, Tartu linn",,,,,,,,,,,,,,,
